respondent,Respondent,Respondent ID number
status,Professional,Which of the following best describes you?
programhobby,ProgramHobby,Do you program as a hobby or contribute to open source projects?
country,Country,In which country do you currently live?
university,University,"Are you currently enrolled in a formal, degree-granting college or university program?"
employment,EmploymentStatus,Which of the following best describes your current employment status?
education,FormalEducation,Which of the following best describes the highest level of formal education that you've completed?
undergrad,MajorUndergrad,Which of the following best describes your main field of study (aka 'major') in college or university/for your undergraduate studies?
remote,HomeRemote,How often do you work from home or remotely?
org_size,CompanySize,"In terms of the number of employees, how large is the company or organization you work for?"
industry,CompanyType,Which of the following best describes the type of company or organization you work for?
years_coding,YearsProgram,How long has it been since you first learned how to program?
years_codedprof,YearsCodedJob,For how many years have you coded as part of your job?
years_codedjobpast,YearsCodedJobPast,For how many years did you code as part of your job?
occupation,DeveloperType,Which of the following best describe you?
occupation_webdevelopertype,WebDeveloperType,Which of the following best describes you as a Web developer?
occupation_mobiledevelopertype,MobileDeveloperType,For which of the following platforms do you develop mobile applications?
occupation_nondevelopertype,NonDeveloperType,Which of the following describe you?
career_satisfaction,CareerSatisfaction,Career satisfaction rating
satisfaction,JobSatisfaction,Job satisfaction rating
excoderreturn,ExCoderReturn,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? If money weren't an issue, I would take a coding job again"
excodernotforme,ExCoderNotForMe,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? Working as a developer just wasn't for me"
excoderbalance,ExCoderBalance,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I have better work-life balance now than I did as a developer"
excoder10years,ExCoder10Years,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? My career is going the way I thought it would 10 years ago"
excoderbelonged,ExCoderBelonged,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? When I was a developer, I didn't feel like I belonged with my colleagues"
excoderskills,ExCoderSkills,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I don't think my coding skills are up to date"
excoderwillnotcode,ExCoderWillNotCode,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I probably won't code for a living ever again"
excoderactive,ExCoderActive,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I'm still active in the developer community"
pronounce_gif,PronounceGIF,"How do you pronounce ""GIF""?"
problemsolving,ProblemSolving,I love solving problems
buildingthings,BuildingThings,Building things is very rewarding
learningnewtech,LearningNewTech,Learning new technologies is fun
boringdetails,BoringDetails,I tend to get bored by implementation details
jobsecurity,JobSecurity,Job security is important to me
