respondent, Respondent,Randomized respondent ID number (not in order of survey response time)
hobby, Hobby,Do you code as a hobby?
open_source, OpenSource,Do you contribute to open source projects?
country, Country,In which country do you currently reside?
student, Student,"Are you currently enrolled in a formal, degree-granting college or university program?"
employment, Employment,Which of the following best describes your current employment status?
education, FormalEducation,Which of the following best describes the highest level of formal education that you’ve completed?
undergrad, UndergradMajor,You previously indicated that you went to a college or university. Which of the following best describes your main field of study (aka 'major')
org_size, CompanySize,Approximately how many people are employed by the company or organization you work for?
dev_type, DevType,Which of the following describe you? Please select all that apply.
years_coding, YearsCoding,"Including any education, for how many years have you been coding?"
years_codingprof, YearsCodingProf,For how many years have you coded professionally (as a part of your work)?
satisfaction, JobSatisfaction,"How satisfied are you with your current job? If you work more than one job, please answer regarding the one you spend the most hours on."
career_satisfaction, CareerSatisfaction,"Overall, how satisfied are you with your career thus far?"
hopefiveyears, HopeFiveYears,Which of the following best describes what you hope to be doing in five years?
job_seek, JobSearchStatus,Which of the following best describes your current job-seeking status?
lastnewjob, LastNewJob,When was the last time that you took a job with a new employer?
assessjob1, AssessJob1,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The industry that I'd be working in"
assessjob2, AssessJob2,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The financial performance or funding status of the company or organization"
assessjob3, AssessJob3,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The specific department or team I'd be working on"
assessjob4, AssessJob4,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The languages, frameworks, and other technologies I'd be working with"
assessjob5, AssessJob5,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The compensation and benefits offered"
assessjob6, AssessJob6,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The office environment or company culture"
assessjob7, AssessJob7,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The opportunity to work from home/remotely"
assessjob8, AssessJob8,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. Opportunities for professional development"
assessjob9, AssessJob9,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The diversity of the company or organization"
assessjob10, AssessJob10,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. How widely used or impactful the product or service I'd be working on is"
assessbenefits1, AssessBenefits1,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Salary and/or bonuses"
assessbenefits2, AssessBenefits2,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Stock options or shares"
assessbenefits3, AssessBenefits3,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Health insurance"
assessbenefits4, AssessBenefits4,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Parental leave"
assessbenefits5, AssessBenefits5,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Fitness or wellness benefit (ex. gym membership, nutritionist)"
