respondent,Respondent,Randomized respondent ID number (not in order of survey response time)
status,MainBranch,"Which of the following options best describes you today? Here, by ""developer"" we mean ""someone who writes code."""
hobbyist,Hobbyist,Do you code as a hobby?
opensourcer,OpenSourcer,How often do you contribute to open source?
opensource,OpenSource,How do you feel about the quality of open source software (OSS)?
employment,Employment,Which of the following best describes your current employment status?
country,Country,In which country do you currently reside?
student,Student,"Are you currently enrolled in a formal, degree-granting college or university program?"
education,EdLevel,Which of the following best describes the highest level of formal education that you’ve completed?
undergrad,UndergradMajor,What was your main or most important field of study?
edu_other,EduOther,Which of the following types of non-degree education have you used or participated in? Please select all that apply.
org_size,OrgSize,Approximately how many people are employed by the company or organization you work for?
occupation,DevType,Which of the following describe you? Please select all that apply.
years_coding,YearsCode,"Including any education, how many years have you been coding?"
age1stcode,Age1stCode,"At what age did you write your first line of code or program? (E.g., webpage, Hello World, Scratch project)"
years_codingprof,YearsCodePro,How many years have you coded professionally (as a part of your work)?
career_satisfaction,CareerSat,"Overall, how satisfied are you with your career thus far?"
satisfaction,JobSat,"How satisfied are you with your current job? (If you work multiple jobs, answer for the one you spend the most hours on.)"
mgridiot,MgrIdiot,How confident are you that your manager knows what they’re doing?
mgrmoney,MgrMoney,Do you believe that you need to be a manager to make more money?
mgrwant,MgrWant,Do you want to become a manager yourself in the future?
job_seek,JobSeek,Which of the following best describes your current job-seeking status?
lasthiredate,LastHireDate,When was the last time that you took a job with a new employer?
lastint,LastInt,"In your most recent successful job interview (resulting in a job offer), you were asked to... (check all that apply)"
fizzbuzz,FizzBuzz,Have you ever been asked to solve FizzBuzz in an interview?
job_factors,JobFactors,"Imagine that you are deciding between two job offers with the same compensation, benefits, and location. Of the following factors, which 3 are MOST important to you?"
resumeupdate,ResumeUpdate,"Think back to the last time you updated your resumé, CV, or an online profile on a job site. What is the PRIMARY reason that you did so?"
currencysymbol,CurrencySymbol,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in."
currencydesc,CurrencyDesc,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in."
comptotal,CompTotal,"What is your current total compensation (salary, bonuses, and perks, before taxes and deductions), in `CurrencySymbol`? Please enter a whole number in the box below, without any punctuation. If you are paid hourly, please estimate an equivalent weekly, monthly, or yearly salary. If you prefer not to answer, please leave the box empty."
compfreq,CompFreq,"Is that compensation weekly, monthly, or yearly?"
salary,ConvertedComp,"Salary converted to annual USD salaries using the exchange rate on 2019-02-01, assuming 12 working months and 50 working weeks."
hours_perweek,WorkWeekHrs,"On average, how many hours per week do you work?"
workplan,WorkPlan,How structured or planned is your work?
workchallenge,WorkChallenge,"Of these options, what are your greatest challenges to productivity as a developer? Select up to 3:"
remote,WorkRemote,How often do you work remotely?
workloc,WorkLoc,Where would you prefer to work?
impsyn,ImpSyn,"For the specific work you do, and the years of experience you have, how do you rate your own level of competence?"
coderev,CodeRev,Do you review code as part of your work?
coderevhrs,CodeRevHrs,"On average, how many hours per week do you spend on code review?"
unittests,UnitTests,Does your company regularly employ unit tests in the development of their products?
purchasehow,PurchaseHow,"How does your company make decisions about purchasing new technology (cloud, AI, IoT, databases)?"
purchaser,PurchaseWhat,"What level of influence do you, personally, have over new technology purchases at your organization?"
lang,LanguageWorkedWith,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
interest,LanguageDesireNextYear,"Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
databaseworkedwith,DatabaseWorkedWith,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
databasedesirenextyear,DatabaseDesireNextYear,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
platformworkedwith,PlatformWorkedWith,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)"
platformdesirenextyear,PlatformDesireNextYear,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)"
webframeworkedwith,WebFrameWorkedWith,"Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
webframedesirenextyear,WebFrameDesireNextYear,"Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
misctechworkedwith,MiscTechWorkedWith,"Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
misctechdesirenextyear,MiscTechDesireNextYear,"Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
devenviron,DevEnviron,Which development environment(s) do you use regularly?  Please check all that apply.
os,OpSys,What is the primary operating system in which you work?
containers,Containers,"How do you use containers (Docker, Open Container Initiative (OCI), etc.)?"
blockchainorg,BlockchainOrg,How is your organization thinking about or implementing blockchain technology?
blockchainis,BlockchainIs,Blockchain / cryptocurrency technology is primarily:
betterlife,BetterLife,Do you think people born today will have a better life than their parents?
itperson,ITperson,"Are you the ""IT support person"" for your family?"
offon,OffOn,Have you tried turning it off and on again?
socialmedia,SocialMedia,What social media site do you use the most?
extraversion,Extraversion,Do you prefer online chat or IRL conversations?
screenname,ScreenName,What do you call it?
sovisit1st,SOVisit1st,"To the best of your memory, when did you first visit Stack Overflow?"
so_frequency,SOVisitFreq,How frequently would you say you visit Stack Overflow?
so_use,SOVisitTo,I visit Stack Overflow to... (check all that apply)
sofindanswer,SOFindAnswer,"On average, how many times a week do you find (and use) an answer on Stack Overflow?"
sotimesaved,SOTimeSaved,"Think back to the last time you solved a coding problem using Stack Overflow, as well as the last time you solved a problem using a different resource. Which was faster?"
sohowmuchtime,SOHowMuchTime,"About how much time did you save? If you're not sure, please use your best estimate."
soaccount,SOAccount,Do you have a Stack Overflow account?
sopartfreq,SOPartFreq,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions."
sojobs,SOJobs,Have you ever used or visited Stack Overflow Jobs?
entteams,EntTeams,Have you ever used Stack Overflow for Enterprise or Stack Overflow for Teams?
socomm,SOComm,Do you consider yourself a member of the Stack Overflow community?
welcomechange,WelcomeChange,"Compared to last year, how welcome do you feel on Stack Overflow?"
sonewcontent,SONewContent,Would you like to see any of the following on Stack Overflow? Check all that apply.
age,Age,"What is your age (in years)? If you prefer not to answer, you may leave this question blank."
gender,Gender,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
trans,Trans,Do you identify as transgender?
sexuality,Sexuality,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
ethnicity,Ethnicity,"Which of the following do you identify as? Please check all that apply. If you prefer not to answer, you may leave this question blank."
dependents,Dependents,"Do you have any dependents (e.g., children, elders, or others) that you care for?"
surveylength,SurveyLength,How do you feel about the length of the survey this year?
surveyease,SurveyEase,How easy or difficult was this survey to complete?
